1um,5um,time (iso)
127,4,2015-08-02T09:18:26.363000
133,3,2015-08-02T09:19:25.163000
161,5,2015-08-02T09:20:23.961000
326,5,2015-08-02T09:21:22.762000
212,6,2015-08-02T09:22:21.563000
225,6,2015-08-02T09:23:20.365000
10988,599,2015-08-02T09:24:19.171000
29228,1469,2015-08-02T09:25:17.970000
23249,301,2015-08-02T09:26:16.770000
16004,72,2015-08-02T09:27:15.570000
10399,26,2015-08-02T09:28:14.372000
4510,16,2015-08-02T09:29:13.172000
2542,16,2015-08-02T09:30:11.973000
1988,20,2015-08-02T09:31:10.777000
1266,17,2015-08-02T09:32:09.578000
933,12,2015-08-02T09:33:08.380000
779,16,2015-08-02T09:34:07.186000
720,18,2015-08-02T09:35:05.989000
670,12,2015-08-02T09:36:04.795000
650,16,2015-08-02T09:37:03.603000
610,13,2015-08-02T09:38:02.412000
616,14,2015-08-02T09:39:01.219000
588,14,2015-08-02T09:40:00.026000
626,14,2015-08-02T09:40:58.836000
595,14,2015-08-02T09:41:57.645000
615,9,2015-08-02T09:42:56.455000
598,11,2015-08-02T09:43:55.265000
579,9,2015-08-02T09:44:54.073000
581,7,2015-08-02T09:45:52.884000
570,9,2015-08-02T09:46:51.693000
552,9,2015-08-02T09:47:50.502000
563,9,2015-08-02T09:48:49.311000
555,10,2015-08-02T09:49:48.120000
765,51,2015-08-02T09:50:46.929000
768,47,2015-08-02T09:51:45.732000
766,52,2015-08-02T09:52:44.534000
789,58,2015-08-02T09:53:43.338000
746,46,2015-08-02T09:54:42.137000
770,47,2015-08-02T09:55:40.939000
777,51,2015-08-02T09:56:39.740000
773,51,2015-08-02T09:57:38.540000
758,45,2015-08-02T09:58:37.336000
757,44,2015-08-02T09:59:36.164000
735,34,2015-08-02T10:00:34.933000
706,36,2015-08-02T10:01:33.732000
687,24,2015-08-02T10:02:32.530000
675,20,2015-08-02T10:03:31.327000
665,17,2015-08-02T10:04:30.124000
652,14,2015-08-02T10:05:28.923000
644,15,2015-08-02T10:06:27.718000
632,14,2015-08-02T10:07:26.515000
653,17,2015-08-02T10:08:25.313000
617,14,2015-08-02T10:09:24.107000
626,12,2015-08-02T10:10:22.905000
604,12,2015-08-02T10:11:21.701000
586,9,2015-08-02T10:12:20.498000
581,6,2015-08-02T10:13:19.293000
597,7,2015-08-02T10:14:18.088000
577,7,2015-08-02T10:15:16.887000
624,23,2015-08-02T10:16:15.684000
721,43,2015-08-02T10:17:14.482000
677,32,2015-08-02T10:18:13.279000
668,29,2015-08-02T10:19:12.072000
624,25,2015-08-02T10:20:10.872000
622,21,2015-08-02T10:21:09.668000
613,21,2015-08-02T10:22:08.468000
620,22,2015-08-02T10:23:07.266000
593,12,2015-08-02T10:24:06.063000
590,17,2015-08-02T10:25:04.861000
580,13,2015-08-02T10:26:03.658000
572,8,2015-08-02T10:27:02.458000
578,7,2015-08-02T10:28:01.255000
586,9,2015-08-02T10:29:00.054000
564,10,2015-08-02T10:29:58.855000
570,9,2015-08-02T10:30:57.651000
567,13,2015-08-02T10:31:56.449000
560,9,2015-08-02T10:32:55.246000
610,36,2015-08-02T10:33:54.044000
628,48,2015-08-02T10:34:52.843000
614,46,2015-08-02T10:35:51.642000
595,39,2015-08-02T10:36:50.442000
543,32,2015-08-02T10:37:49.237000
514,25,2015-08-02T10:38:48.030000
481,21,2015-08-02T10:39:46.825000
435,21,2015-08-02T10:40:45.620000
409,15,2015-08-02T10:41:44.417000
390,14,2015-08-02T10:42:43.214000
348,11,2015-08-02T10:43:42.010000
347,10,2015-08-02T10:44:40.808000
312,10,2015-08-02T10:45:39.605000
312,10,2015-08-02T10:46:38.403000
294,8,2015-08-02T10:47:37.198000
287,6,2015-08-02T10:48:35.992000
255,7,2015-08-02T10:49:34.790000
239,4,2015-08-02T10:50:33.588000
241,3,2015-08-02T10:51:32.387000
232,4,2015-08-02T10:52:31.185000
202,2,2015-08-02T10:53:29.983000
209,3,2015-08-02T10:54:28.782000
201,3,2015-08-02T10:55:27.582000
193,2,2015-08-02T10:56:26.378000
176,2,2015-08-02T10:57:25.176000
177,3,2015-08-02T10:58:23.973000
164,2,2015-08-02T10:59:22.774000
171,2,2015-08-02T11:00:21.569000
170,2,2015-08-02T11:01:20.368000
152,1,2015-08-02T11:02:19.165000
146,1,2015-08-02T11:03:17.961000
131,0,2015-08-02T11:04:16.760000
137,1,2015-08-02T11:05:15.558000
125,1,2015-08-02T11:06:14.357000
121,0,2015-08-02T11:07:13.154000
125,0,2015-08-02T11:08:11.954000
